0x10f8, ZwUserEmptyClipboard
0x10f9, NtUserGetClipboardData
0x10eb, ZwUserCreateLocalMemHandle
0x101e, NtUserCallNextHookEx
0x128d, NtUserChildWindowFromPointEx
0x10cd, NtUserValidateRect
0x131d, NtUserSfmDxOpenSwapChain
0x131e, ZwUserSfmDxQuerySwapChainBindingStatus
0x1321, NtUserSfmDxSetSwapChainBindingStatus
0x131f, NtUserSfmDxReleaseSwapChain
0x1325, ZwUserSoundSentry
0x111a, NtUserSetClipboardViewer
0x1103, ZwUserCheckMenuItem
0x130b, NtUserSetMenu
0x107f, NtUserDefSetText
0x1119, ZwUserChangeClipboardChain
0x1106, NtUserLockWindowUpdate
0x10e9, ZwUserGetClipboardFormatName
0x10d2, NtUserEnableMenuItem
0x10ee, ZwUserPaintMenuBar
0x1334, ZwUserValidateHandleSecure
0x12a0, NtUserDwmStopRedirection
0x12d6, NtUserInternalGetWindowIcon
0x1086, ZwUserGetUpdateRgn
0x12ce, NtUserHungWindowFromGhostWindow
0x1288, NtUserChangeDisplaySettings
0x12cf, ZwUserHwndQueryRedirectionInfo
0x12d0, NtUserHwndSetRedirectionInfo
0x12e0, ZwUserMagGetContextInformation
0x12df, ZwUserMagControl
0x12e1, ZwUserMagSetContextInformation
0x1335, NtUserWaitForInputIdle
0x1318, ZwUserSetWindowRgnEx
0x102c, ZwUserCopyAcceleratorTable
0x12a7, NtUserGetCaretPos
0x12aa, NtUserGetComboBoxInfo
0x1089, NtUserFillWindow
0x10d9, NtUserSetThreadState
0x103d, ZwUserShowScrollBar
0x10be, NtUserScrollWindowEx
0x10ce, ZwUserCloseClipboard
0x10cf, ZwUserOpenClipboard
0x102f, ZwUserIsClipboardFormatAvailable
0x1056, NtUserGetClipboardSequenceNumber
0x10c9, ZwUserGetClipboardOwner
0x1108, NtUserThunkedMenuInfo
0x110f, ZwUserCountClipboardFormats
0x1015, NtUserCallMsgFilter
0x10d8, NtUserGetOpenClipboardWindow
0x1328, NtUserTrackPopupMenuEx
0x1032, ZwUserCreateCaret
0x10fe, ZwUserDestroyAcceleratorTable
0x10c1, ZwUserGetMenuBarInfo
0x1049, ZwUserSetCapture
0x1078, ZwUserGetKeyboardState
0x1011, ZwUserTranslateAccelerator
0x105b, ZwUserMapVirtualKeyEx
0x10ef, NtUserSetKeyboardState
0x10d5, NtUserGetWindowPlacement
0x132b, NtUserUnregisterHotKey
0x100d, NtUserTranslateMessage
0x1014, ZwUserWindowFromPoint
0x1337, NtUserWindowFromPhysicalPoint
0x12dc, NtUserLogicalToPhysicalPoint
0x12ea, NtUserPhysicalToLogicalPoint
0x1082, NtUserSendInput
0x10b5, ZwUserCloseWindowStation
0x10a0, NtUserOpenWindowStation
0x1008, NtGdiBitBlt
0x1009, ZwGdiGetCharSet
0x100b, ZwGdiSelectBitmap
0x1012, NtGdiFlush
0x101d, ZwUserSelectPalette
0x1020, NtGdiIntersectClipRect
0x1023, ZwGdiDeleteObjectApp
0x1029, ZwGdiSetDIBitsToDeviceInternal
0x102b, NtGdiGetRandomRgn
0x102e, NtGdiExtSelectClipRgn
0x1031, NtGdiStretchBlt
0x1033, NtGdiRectVisible
0x1034, ZwGdiCombineRgn
0x1035, NtGdiGetDCObject
0x1038, ZwGdiExtTextOutW
0x1039, NtGdiSelectFont
0x103a, NtGdiRestoreDC
0x103b, ZwGdiSaveDC
0x103f, ZwGdiGetDCDword
0x1040, ZwGdiGetRegionData
0x1041, NtGdiLineTo
0x1043, NtGdiGetAppClipBox
0x1047, ZwGdiDoPalette
0x1048, NtGdiPolyPolyDraw
0x104b, NtGdiCreateCompatibleBitmap
0x104d, NtGdiGetTextCharsetInfo
0x1050, NtUserExcludeUpdateRgn
0x1052, ZwGdiExtGetObjectW
0x1055, ZwGdiCreateCompatibleDC
0x1057, NtGdiCreatePen
0x105a, ZwGdiPatBlt
0x105d, NtGdiHfontCreate
0x1062, ZwGdiDrawStream
0x1065, ZwGdiD3dDrawPrimitives2
0x1066, NtGdiInvertRgn
0x1067, NtGdiGetRgnBox
0x1068, ZwGdiGetAndSetDCDword
0x1069, ZwGdiMaskBlt
0x106a, ZwGdiGetWidthTable
0x106d, NtGdiCreateBitmap
0x106f, ZwGdiPolyPatBlt
0x1071, ZwGdiGetNearestColor
0x1072, ZwGdiTransformPoints
0x1073, NtGdiGetDCPoint
0x1074, NtGdiCreateDIBBrush
0x1075, NtGdiGetTextMetricsW
0x107a, NtUserGetControlBrush
0x107c, NtGdiAlphaBlend
0x107d, NtGdiDdBlt
0x107e, NtGdiOffsetRgn
0x1080, ZwGdiGetTextFaceW
0x1081, NtGdiStretchDIBitsInternal
0x1084, NtGdiCreateRectRgn
0x1085, NtGdiGetDIBitsInternal
0x1087, ZwGdiDeleteClientObj
0x108a, ZwGdiExtCreateRegion
0x108b, NtGdiComputeXformCoefficients
0x108d, NtUserNotifyProcessCreate
0x108e, ZwGdiUnrealizeObject
0x1090, NtGdiRectangle
0x1094, NtGdiGetTextExtent
0x1096, NtGdiSetLayout
0x1099, ZwGdiExcludeClipRect
0x109a, NtGdiCreateDIBSection
0x109b, ZwGdiGetDCforBitmap
0x109f, NtGdiCreateDIBitmapInternal
0x10a1, ZwGdiDdDeleteSurfaceObject
0x10a2, NtGdiDdCanCreateSurface
0x10a3, ZwGdiDdCreateSurface
0x10a5, ZwGdiDdDestroySurface
0x10aa, NtGdiDdResetVisrgn
0x10ab, NtGdiExtCreatePen
0x10ac, NtGdiCreatePaletteInternal
0x10ad, NtGdiSetBrushOrg
0x10af, ZwGdiSetPixel
0x10b1, NtGdiCreatePatternBrushInternal
0x10b3, NtGdiGetOutlineTextMetricsInternalW
0x10b4, NtGdiSetBitmapBits
0x10b7, ZwUserEnableScrollBar
0x10b8, ZwGdiCreateSolidBrush
0x10ba, ZwGdiCreateClientObj
0x10bd, NtGdiRectInRegion
0x10bf, ZwGdiGetPixel
0x10c2, ZwGdiDdCreateSurfaceEx
0x10c3, NtGdiDdCreateSurfaceObject
0x10c4, NtGdiGetNearestPaletteIndex
0x10c5, NtGdiDdLockD3D
0x10c6, ZwGdiDdUnlockD3D
0x10c7, NtGdiGetCharWidthW
0x10cc, NtGdiGetCharWidthInfo
0x10d0, NtGdiGetStockObject
0x10d3, NtUserAlterWindowStyle
0x10d4, NtGdiFillRgn
0x10d6, ZwGdiModifyWorldTransform
0x10d7, NtGdiGetFontData
0x10da, NtGdiOpenDCW
0x10dc, NtGdiGetTransform
0x10de, NtGdiGetBitmapBits
0x10e3, ZwUserGetControlColor
0x10e4, NtGdiSetMetaRgn
0x10e5, ZwGdiSetMiterLimit
0x10e6, NtGdiSetVirtualResolution
0x10e7, ZwGdiGetRasterizerCaps
0x10e8, ZwUserSetWindowWord
0x10ed, NtGdiCreateHalftonePalette
0x10f0, NtGdiCombineTransform
0x10f3, ZwUserGetAltTabInfo
0x10f5, NtGdiQueryFontAssocInfo
0x10fb, ZwGdiSetBoundsRect
0x10fc, ZwGdiGetBitmapDimension
0x1100, NtGdiCloseFigure
0x1101, ZwUserSetWindowsHookAW
0x1107, ZwUserSetSystemMenu
0x1109, ZwGdiBeginPath
0x110a, NtGdiEndPath
0x110b, NtGdiFillPath
0x110e, NtUserModifyUserStartupInfoFlags
0x1110, ZwGdiAddFontMemResourceEx
0x1111, NtGdiEqualRgn
0x1112, NtGdiGetSystemPaletteUse
