0x00b9, NtDrawText
0x00ba, NtEnableLastKnownGood
0x00bb, NtEnumerateBootEntries
0x00bc, ZwEnumerateDriverEntries
0x00bd, NtEnumerateSystemEnvironmentValuesEx
0x00be, NtEnumerateTransactionObject
0x00bf, NtExtendSection
0x00c0, ZwFilterToken
0x00c1, NtFlushInstallUILanguage
0x00c2, NtFlushInstructionCache
0x00c3, ZwFlushKey
0x00c4, ZwFlushProcessWriteBuffers
0x00c5, ZwFlushVirtualMemory
0x00c6, NtFlushWriteBuffer
0x00c7, ZwFreeUserPhysicalPages
0x00c8, NtFreezeRegistry
0x00c9, ZwFreezeTransactions
0x00ca, ZwGetContextThread
0x00cb, ZwGetCurrentProcessorNumber
0x00cc, ZwGetDevicePowerState
0x00cd, ZwGetMUIRegistryInfo
0x00ce, NtGetNextProcess
0x00cf, ZwGetNextThread
0x00d0, ZwGetNlsSectionPtr
0x00d1, NtGetNotificationResourceManager
0x00d2, NtGetPlugPlayEvent
0x00d3, ZwGetWriteWatch
0x00d4, ZwImpersonateAnonymousToken
0x00d5, ZwImpersonateThread
0x00d6, NtInitializeNlsFiles
0x00d7, NtInitializeRegistry
0x00d8, NtInitiatePowerAction
0x00d9, ZwIsSystemResumeAutomatic
0x00da, NtIsUILanguageComitted
0x00db, NtListenPort
0x00dc, ZwLoadDriver
0x00dd, NtLoadKey
0x00de, ZwLoadKey2
0x00df, NtLoadKeyEx
0x00e0, ZwLockFile
0x00e1, NtLockProductActivationKeys
0x00e2, ZwLockRegistryKey
0x00e3, NtLockVirtualMemory
0x00e4, NtMakePermanentObject
0x00e5, NtMakeTemporaryObject
0x00e6, NtMapCMFModule
0x00e7, NtMapUserPhysicalPages
0x00e8, NtModifyBootEntry
0x00e9, ZwModifyDriverEntry
0x00ea, NtNotifyChangeDirectoryFile
0x00eb, ZwNotifyChangeKey
0x00ec, NtNotifyChangeMultipleKeys
0x00ed, NtNotifyChangeSession
0x00ee, NtOpenEnlistment
0x00ef, ZwOpenEventPair
0x00f0, NtOpenIoCompletion
0x00f1, NtOpenJobObject
0x00f2, NtOpenKeyEx
0x00f3, ZwOpenKeyTransacted
0x00f4, ZwOpenKeyTransactedEx
0x00f5, NtOpenKeyedEvent
0x00f6, NtOpenMutant
0x00f7, ZwOpenObjectAuditAlarm
0x00f8, NtOpenPrivateNamespace
0x00f9, NtOpenProcessToken
0x00fa, NtOpenResourceManager
0x00fb, ZwOpenSemaphore
0x00fc, ZwOpenSession
0x00fd, ZwOpenSymbolicLinkObject
0x00fe, ZwOpenThread
0x00ff, ZwOpenTimer
0x0100, ZwOpenTransaction
0x0101, NtOpenTransactionManager
0x0102, ZwPlugPlayControl
0x0103, ZwPrePrepareComplete
0x0104, NtPrePrepareEnlistment
0x0105, ZwPrepareComplete
0x0106, ZwPrepareEnlistment
0x0107, ZwPrivilegeCheck
0x0108, NtPrivilegeObjectAuditAlarm
0x0109, ZwPrivilegedServiceAuditAlarm
0x010a, NtPropagationComplete
0x010b, NtPropagationFailed
0x010c, ZwPulseEvent
0x010d, ZwQueryBootEntryOrder
0x010e, NtQueryBootOptions
0x010f, ZwQueryDebugFilterState
0x0110, ZwQueryDirectoryObject
0x0111, NtQueryDriverEntryOrder
0x0112, ZwQueryEaFile
0x0113, NtQueryFullAttributesFile
0x0114, NtQueryInformationAtom
0x0115, NtQueryInformationEnlistment
0x0116, NtQueryInformationJobObject
0x0117, NtQueryInformationPort
0x0118, NtQueryInformationResourceManager
0x0119, ZwQueryInformationTransaction
0x011a, NtQueryInformationTransactionManager
0x011b, ZwQueryInformationWorkerFactory
0x011c, NtQueryInstallUILanguage
0x011d, NtQueryIntervalProfile
0x011e, NtQueryIoCompletion
0x011f, ZwQueryLicenseValue
0x0120, ZwQueryMultipleValueKey
0x0121, ZwQueryMutant
0x0122, NtQueryOpenSubKeys
0x0123, NtQueryOpenSubKeysEx
0x0124, NtQueryPortInformationProcess
0x0125, NtQueryQuotaInformationFile
0x0126, ZwQuerySecurityAttributesToken
0x0127, NtQuerySecurityObject
0x0128, ZwQuerySemaphore
0x0129, NtQuerySymbolicLinkObject
0x012a, NtQuerySystemEnvironmentValue
0x012b, NtQuerySystemEnvironmentValueEx
0x012c, NtQuerySystemInformationEx
0x012d, ZwQueryTimerResolution
0x012e, NtQueueApcThreadEx
0x012f, ZwRaiseException
0x0130, NtRaiseHardError
0x0131, ZwReadOnlyEnlistment
0x0132, ZwRecoverEnlistment
0x0133, ZwRecoverResourceManager
0x0134, NtRecoverTransactionManager
0x0135, NtRegisterProtocolAddressInformation
0x0136, NtRegisterThreadTerminatePort
0x0137, NtReleaseKeyedEvent
0x0138, NtReleaseWorkerFactoryWorker
0x0139, ZwRemoveIoCompletionEx
0x013a, ZwRemoveProcessDebug
0x013b, NtRenameKey
0x013c, NtRenameTransactionManager
0x013d, NtReplaceKey
0x013e, NtReplacePartitionUnit
0x013f, NtReplyWaitReplyPort
0x0140, NtRequestPort
0x0141, ZwResetEvent
0x0142, ZwResetWriteWatch
0x0143, NtRestoreKey
0x0144, ZwResumeProcess
0x0145, ZwRollbackComplete
0x0146, NtRollbackEnlistment
0x0147, ZwRollbackTransaction
0x0148, NtRollforwardTransactionManager
0x0149, NtSaveKey
0x014a, NtSaveKeyEx
0x014b, ZwSaveMergedKeys
0x014c, NtSecureConnectPort
0x014d, ZwSerializeBoot
0x014e, ZwSetBootEntryOrder
0x014f, NtSetBootOptions
0x0150, NtSetContextThread
0x0151, ZwSetDebugFilterState
0x0152, NtSetDefaultHardErrorPort
0x0153, NtSetDefaultLocale
0x0154, ZwSetDefaultUILanguage
0x0155, NtSetDriverEntryOrder
0x0156, ZwSetEaFile
0x0157, NtSetHighEventPair
0x0158, ZwSetHighWaitLowEventPair
0x0159, NtSetInformationDebugObject
0x015a, NtSetInformationEnlistment
0x015b, ZwSetInformationJobObject
0x015c, ZwSetInformationKey
0x015d, NtSetInformationResourceManager
0x015e, NtSetInformationToken
0x015f, NtSetInformationTransaction
0x0160, ZwSetInformationTransactionManager
0x0161, NtSetInformationWorkerFactory
0x0162, NtSetIntervalProfile
0x0163, ZwSetIoCompletion
0x0164, ZwSetIoCompletionEx
0x0165, ZwSetLdtEntries
0x0166, ZwSetLowEventPair
0x0167, ZwSetLowWaitHighEventPair
0x0168, ZwSetQuotaInformationFile
0x0169, NtSetSecurityObject
0x016a, ZwSetSystemEnvironmentValue
0x016b, ZwSetSystemEnvironmentValueEx
0x016c, ZwSetSystemInformation
0x016d, ZwSetSystemPowerState
0x016e, ZwSetSystemTime
0x016f, NtSetThreadExecutionState
0x0170, ZwSetTimerEx
0x0171, NtSetTimerResolution
0x0172, NtSetUuidSeed
0x0173, ZwSetVolumeInformationFile
0x0174, ZwShutdownSystem
0x0175, ZwShutdownWorkerFactory
0x0176, ZwSignalAndWaitForSingleObject
0x0177, ZwSinglePhaseReject
0x0178, ZwStartProfile
0x0179, ZwStopProfile
0x017a, ZwSuspendProcess
0x017b, NtSuspendThread
0x017c, ZwSystemDebugControl
0x017d, NtTerminateJobObject
0x017e, ZwTestAlert
0x017f, ZwThawRegistry
0x0180, ZwThawTransactions
0x0181, NtTraceControl
0x0182, NtTranslateFilePath
0x0183, ZwUmsThreadYield
0x0184, ZwUnloadDriver
0x0185, NtUnloadKey
0x0186, NtUnloadKey2
0x0187, ZwUnloadKeyEx
0x0188, ZwUnlockFile
0x0189, ZwUnlockVirtualMemory
0x018a, ZwVdmControl
0x018b, ZwWaitForDebugEvent
0x018c, NtWaitForKeyedEvent
0x018d, ZwWaitForWorkViaWorkerFactory
0x018e, ZwWaitHighEventPair
0x018f, NtWaitLowEventPair
0x0190, NtWorkerFactoryWorkerReady
